name,subject,grade,chapter,description,difficulty_level,importance_level,keywords,source,crawl_time,chapter_number,exam_frequency,learning_objectives,common_mistakes,learning_tips
基础知识点,,Grade 7,基础章节,根据教育部课程标准，基础知识点是重要的学习内容,2,3,基础知识点|课程标准|教育部,教育部课程标准,2025-09-07T20:53:02.760883,,,,,
数与代数的基本概念,数学,Grade 7,基础章节,根据教育部课程标准，数与代数的基本概念是重要的学习内容,2,3,数与代数的基本概念|课程标准|教育部,教育部课程标准,2025-09-07T20:53:05.761567,,,,,
几何图形的性质,数学,Grade 7,基础章节,根据教育部课程标准，几何图形的性质是重要的学习内容,3,4,几何图形的性质|课程标准|教育部,教育部课程标准,2025-09-07T20:53:05.761567,,,,,
统计与概率基础,数学,Grade 7,基础章节,根据教育部课程标准，统计与概率基础是重要的学习内容,4,5,统计与概率基础|课程标准|教育部,教育部课程标准,2025-09-07T20:53:05.761567,,,,,
函数的概念与性质,数学,Grade 7,基础章节,根据教育部课程标准，函数的概念与性质是重要的学习内容,2,3,函数的概念与性质|课程标准|教育部,教育部课程标准,2025-09-07T20:53:05.761567,,,,,
方程与不等式,数学,Grade 7,基础章节,根据教育部课程标准，方程与不等式是重要的学习内容,3,4,方程与不等式|课程标准|教育部,教育部课程标准,2025-09-07T20:53:05.761567,,,,,
现代文阅读理解,语文,Grade 7,基础章节,根据教育部课程标准，现代文阅读理解是重要的学习内容,2,3,现代文阅读理解|课程标准|教育部,教育部课程标准,2025-09-07T20:53:08.762424,,,,,
古诗文阅读,语文,Grade 7,基础章节,根据教育部课程标准，古诗文阅读是重要的学习内容,3,4,古诗文阅读|课程标准|教育部,教育部课程标准,2025-09-07T20:53:08.762424,,,,,
语言文字运用,语文,Grade 7,基础章节,根据教育部课程标准，语言文字运用是重要的学习内容,4,5,语言文字运用|课程标准|教育部,教育部课程标准,2025-09-07T20:53:08.762424,,,,,
写作基础,语文,Grade 7,基础章节,根据教育部课程标准，写作基础是重要的学习内容,2,3,写作基础|课程标准|教育部,教育部课程标准,2025-09-07T20:53:08.762424,,,,,
口语交际,语文,Grade 7,基础章节,根据教育部课程标准，口语交际是重要的学习内容,3,4,口语交际|课程标准|教育部,教育部课程标准,2025-09-07T20:53:08.762424,,,,,
语音与语调,英语,Grade 7,基础章节,根据教育部课程标准，语音与语调是重要的学习内容,2,3,语音与语调|课程标准|教育部,教育部课程标准,2025-09-07T20:53:11.762748,,,,,
词汇与语法,英语,Grade 7,基础章节,根据教育部课程标准，词汇与语法是重要的学习内容,3,4,词汇与语法|课程标准|教育部,教育部课程标准,2025-09-07T20:53:11.762748,,,,,
听说技能,英语,Grade 7,基础章节,根据教育部课程标准，听说技能是重要的学习内容,4,5,听说技能|课程标准|教育部,教育部课程标准,2025-09-07T20:53:11.762748,,,,,
读写技能,英语,Grade 7,基础章节,根据教育部课程标准，读写技能是重要的学习内容,2,3,读写技能|课程标准|教育部,教育部课程标准,2025-09-07T20:53:11.762748,,,,,
语言知识运用,英语,Grade 7,基础章节,根据教育部课程标准，语言知识运用是重要的学习内容,3,4,语言知识运用|课程标准|教育部,教育部课程标准,2025-09-07T20:53:11.762748,,,,,
七年级数学核心概念,数学,Grade 7,第1章,人教版七年级数学教材中的七年级数学核心概念,2,3,七年级数学核心概念|人教版|七年级,人民教育出版社官网,,1.0,0.6,掌握七年级数学核心概念的基本概念和应用,容易在七年级数学核心概念的理解上出错,通过练习巩固七年级数学核心概念
七年级代数基础,数学,Grade 7,第2章,人教版七年级数学教材中的七年级代数基础,3,4,七年级代数基础|人教版|七年级,人民教育出版社官网,,2.0,0.7,掌握七年级代数基础的基本概念和应用,容易在七年级代数基础的理解上出错,通过练习巩固七年级代数基础
七年级几何入门,数学,Grade 7,第3章,人教版七年级数学教材中的七年级几何入门,4,3,七年级几何入门|人教版|七年级,人民教育出版社官网,,3.0,0.8,掌握七年级几何入门的基本概念和应用,容易在七年级几何入门的理解上出错,通过练习巩固七年级几何入门
七年级函数初步,数学,Grade 7,第4章,人教版七年级数学教材中的七年级函数初步,2,4,七年级函数初步|人教版|七年级,人民教育出版社官网,,4.0,0.9,掌握七年级函数初步的基本概念和应用,容易在七年级函数初步的理解上出错,通过练习巩固七年级函数初步
八年级数学核心概念,数学,Grade 8,第1章,人教版八年级数学教材中的八年级数学核心概念,2,3,八年级数学核心概念|人教版|八年级,人民教育出版社官网,,1.0,0.6,掌握八年级数学核心概念的基本概念和应用,容易在八年级数学核心概念的理解上出错,通过练习巩固八年级数学核心概念
八年级代数基础,数学,Grade 8,第2章,人教版八年级数学教材中的八年级代数基础,3,4,八年级代数基础|人教版|八年级,人民教育出版社官网,,2.0,0.7,掌握八年级代数基础的基本概念和应用,容易在八年级代数基础的理解上出错,通过练习巩固八年级代数基础
八年级几何入门,数学,Grade 8,第3章,人教版八年级数学教材中的八年级几何入门,4,3,八年级几何入门|人教版|八年级,人民教育出版社官网,,3.0,0.8,掌握八年级几何入门的基本概念和应用,容易在八年级几何入门的理解上出错,通过练习巩固八年级几何入门
八年级函数初步,数学,Grade 8,第4章,人教版八年级数学教材中的八年级函数初步,2,4,八年级函数初步|人教版|八年级,人民教育出版社官网,,4.0,0.9,掌握八年级函数初步的基本概念和应用,容易在八年级函数初步的理解上出错,通过练习巩固八年级函数初步
九年级数学核心概念,数学,Grade 9,第1章,人教版九年级数学教材中的九年级数学核心概念,2,3,九年级数学核心概念|人教版|九年级,人民教育出版社官网,,1.0,0.6,掌握九年级数学核心概念的基本概念和应用,容易在九年级数学核心概念的理解上出错,通过练习巩固九年级数学核心概念
九年级代数基础,数学,Grade 9,第2章,人教版九年级数学教材中的九年级代数基础,3,4,九年级代数基础|人教版|九年级,人民教育出版社官网,,2.0,0.7,掌握九年级代数基础的基本概念和应用,容易在九年级代数基础的理解上出错,通过练习巩固九年级代数基础
九年级几何入门,数学,Grade 9,第3章,人教版九年级数学教材中的九年级几何入门,4,3,九年级几何入门|人教版|九年级,人民教育出版社官网,,3.0,0.8,掌握九年级几何入门的基本概念和应用,容易在九年级几何入门的理解上出错,通过练习巩固九年级几何入门
九年级函数初步,数学,Grade 9,第4章,人教版九年级数学教材中的九年级函数初步,2,4,九年级函数初步|人教版|九年级,人民教育出版社官网,,4.0,0.9,掌握九年级函数初步的基本概念和应用,容易在九年级函数初步的理解上出错,通过练习巩固九年级函数初步
